framework,run,first-contentful-paint,largest-contentful-paint,total-blocking-time,server-response-time,speed-index,first-meaningful-paint,dom-content-loaded,interactive,max-potential-fid,bootup-time
vue,97,1359.2015999999999,1385.2015999999999,2.0,3.199,1359.2015999999999,1385.2015999999999,51,1411.2015999999999,52.0,74.156
vue,98,1357.3263,1384.3263,4.0,2.423,1357.3263,1384.3263,52,1411.3263,54.0,71.02800000000002
vue,99,1356.627125,1379.127125,0.0,2.559,1356.627125,1379.127125,51,1379.127125,45.0,61.96400000000005
vue,100,1357.3587499999999,1357.3587499999999,0.0,2.911,1357.3587499999999,1357.3587499999999,46,1357.3587499999999,16.0,69.48800000000004
angular,1,2042.5625000000002,2331.8875,41.0,2.5410000000000004,2042.5625000000002,2088.0625,152,2339.9750000000004,91.0,259.52800000000013
angular,2,1955.892625,2258.249675,27.0,2.58,1955.892625,1994.392625,100,2034.07115,77.0,262.6920000000002
angular,3,1957.50475,2260.5066500000003,28.0,2.984,1957.50475,1996.50475,99,2037.0057,78.0,273.11200000000014
angular,4,1954.808125,2256.7313750000003,0.0,3.4520000000000004,1954.808125,1954.808125,111,1954.808125,16.0,259.65200000000027
angular,5,1956.2895,2258.8053,38.0,2.665,1956.2895,2000.2895,107,2045.5474000000002,88.0,279.79999999999995
angular,6,1955.53575,2257.75005,0.0,2.854,1955.53575,1955.53575,100,1955.53575,16.0,273.1960000000002
angular,7,1955.083625,2257.117075,29.0,2.722,1955.083625,1994.583625,105,2035.10035,79.0,257.00000000000017
angular,8,1955.0031250000002,2257.004375,29.0,2.3629999999999995,1955.0031250000002,1994.5031250000002,106,2035.00375,79.0,268.09600000000034
angular,9,1955.25025,2257.35035,34.0,2.261,1955.25025,1997.25025,102,2040.3003,84.0,261.4079999999999
angular,10,1957.524125,2260.533775,70.0,3.6559999999999997,1957.524125,2017.524125,135,2079.02895,120.0,371.0600000000002
angular,11,2007.512125,2287.3169749999997,35.0,2.357,2007.512125,2050.012125,136,2295.41455,85.0,301.80000000000007
angular,12,1956.888,2259.6432,29.0,3.3209999999999997,1956.888,1996.388,110,2037.2656,79.0,262.8040000000002
angular,13,1957.446375,2260.4249250000003,28.0,2.967,1957.446375,1996.446375,99,2036.9356500000001,78.0,243.87600000000026
angular,14,1956.403,2258.9642000000003,28.0,2.9979999999999998,1956.403,1995.403,103,2035.6836,78.0,258.50000000000017
angular,15,2087.7816249999996,2384.2379499999997,182.0,14.194,2087.7816249999996,2203.7816249999996,323,2500.2379499999997,232.0,808.1200000000009
angular,16,2000.000125,2280.4001749999998,32.0,2.606,2000.000125,2041.0001249999998,141,2286.2001499999997,82.0,306.9879999999999
angular,17,2000.795125,2280.613175,35.0,4.7620000000000005,2000.795125,2043.295125,116,2289.45415,85.0,282.8399999999999
